Section,Subsection,Cause,Explanation,Illustration ,Effect,
S. 211,,"Omission related to an order under Section 447 of Bhartiya Nagarik Suraksha Sanhita, 2023","If the omission relates to an order under Section 447 of the Bhartiya Nagarik Suraksha Sanhita, 2023, requiring information or notice.","A, a person bound by law, fails to provide information as required by an order under Section 447.","Imprisonment for up to 6 months, or fine up to 1,000 rupees, or both.",
S. 212,-,Omission to furnish false information to a public servant,"A person, who is legally bound to provide information to a public servant, furnishes information that they know to be false.","A, a landholder, knowing of a murder, wilfully misinforms the Magistrate that the death occurred by accident.","Simple imprisonment for up to 6 months, or fine up to 5000 rupees, or both.",
S. 212,-,False information related to commission or prevention of an offence,If the false information concerns the commission of an offence or is required to prevent an offence or to apprehend an offender.,"A, a village watchman, misinforms the police about a planned dacoity.","Imprisonment for up to 2 years, or fine, or both.",
S. 213,N/A,Refusal to take an oath or affirmation,A person legally required to take an oath or affirmation to state the truth before a public servant refuses to do so.,A person required by law to take an oath before a court refuses to do so when asked by the judge.,"Simple imprisonment for up to 6 months, or a fine of up to 5000 rupees, or both.",
S. 214,N/A,Refusal to answer questions,A person legally required to answer a question posed by a public servant refuses to do so.,A person is questioned by a police officer under lawful authority but refuses to provide an answer.,"Simple imprisonment for up to 6 months, or a fine of up to 5000 rupees, or both.",
S. 215,N/A,Refusal to sign a statement,A person refuses to sign a statement made by him when legally required to do so by a public servant.,"A person provides a statement to a police officer but refuses to sign the statement, even when asked to do so.","Simple imprisonment for up to 3 months, or a fine of up to 3000 rupees, or both.",
S. 216,,False statement on oath or affirmation,"A person who, under oath or affirmation, makes a false statement to a public servant or person authorized to administer the oath or affirmation, knowing the statement is false.",A person falsely swears under oath regarding a subject in front of an investigating officer.,"Imprisonment of up to 3 years, and/or a fine.","Non-Cognizable, Bailable, Triable by Magistrate of the first class"
S. 217,,False information to cause harm,A person knowingly provides false information to a public servant intending to cause harm or injury to another person.,"A falsely accuses a police officer of misconduct, knowing the information will lead to an unfair dismissal.","Imprisonment for up to 1 year, or a fine of up to 10,000 rupees, or both.","Non-Cognizable, Bailable, Triable by Any Magistrate"
S. 218,,Resistance to lawful property seizure,"A person resists the taking of property by a public servant, knowing the servant is authorized to do so.",A person resists a police officer while the officer attempts to seize property under a valid warrant.,"Imprisonment for up to 6 months, or a fine of up to 10,000 rupees, or both.","Non-Cognizable, Bailable, Triable by Any Magistrate"
S. 219,,Obstructing sale of property,A person intentionally obstructs a sale of property offered for sale by the lawful authority of a public servant.,A person physically blocks a sale of confiscated property by the government to prevent its transfer.,"Imprisonment for up to 1 month, or a fine of up to 5,000 rupees, or both.","Non-Cognizable, Bailable, Triable by Any Magistrate"
S. 220,,Illegal purchase or bid for property,"A person purchases or bids for property at a lawful public sale, knowing they are bidding on behalf of someone legally barred from purchasing the property, or with no intent to fulfill their obligations.","A person bids for a government auction item on behalf of someone who is legally prohibited from bidding, intending not to pay.","Imprisonment for up to 1 month, or a fine of up to 200 rupees, or both.","Non-Cognizable, Bailable, Triable by Any Magistrate"
S. 221,,Obstructing public servant in duty,A person voluntarily obstructs a public servant from performing their duties.,"A person physically prevents a police officer from carrying out an arrest, obstructing the officer’s legal functions.","Imprisonment for up to 3 months, or a fine of up to 2,500 rupees, or both.","Non-Cognizable, Bailable, Triable by Any Magistrate"
S. 222,,Omission to assist public servant,A person who is bound by law to assist a public servant in the execution of their duties intentionally omits to do so.,A person fails to provide help when a police officer requests it to prevent a crime.,"Imprisonment for up to 1 month, or a fine of up to 2,500 rupees, or both; for certain duties, imprisonment up to 6 months or a fine of up to 5,000 rupees, or both.","Non-Cognizable, Bailable, Triable by Any Magistrate"
S. 223,,Disobedience to order duly promulgated by public servant,A person disobeys a lawful order of a public servant to either refrain from an act or take certain action with their property.,A person is ordered by the police to vacate a restricted area but refuses to do so.,"Imprisonment for up to 3 months, or a fine of up to 2,500 rupees, or both; for certain cases, imprisonment up to 1 year or fine up to 5,000 rupees, or both.","Non-Cognizable, Bailable, Triable by Any Magistrate"
S. 224,,Threat of injury to public servant,A person threatens injury to a public servant or anyone the servant is interested in to induce them to do or forbear an act in their official capacity.,A person threatens a police officer’s family to prevent the officer from performing their lawful duties.,"Imprisonment for up to 2 years, or a fine, or both.","Non-Cognizable, Bailable, Triable by Any Magistrate"
S. 225,,Threat of injury to induce person to refrain from applying for protection,A person threatens injury to induce someone to refrain from seeking legal protection from a public servant.,A person threatens an individual to prevent them from reporting abuse to the police.,"Imprisonment for up to 1 year, or a fine, or both.","Non-Cognizable, Bailable, Triable by Any Magistrate"
S. 227,,Giving false evidence,"A person who is bound by an oath or law to tell the truth or make a declaration, and intentionally makes a false statement, is giving false evidence.",A falsely swears during a trial in support of a claim. A states they believe something when they do not.,"Imprisonment of up to 7 years, or a fine, or both.","Cognizable, Non-bailable, Triable by Court"
S. 226,,Attempt to commit suicide to compel or restrain public servant,A person who attempts suicide with the intent to compel or restrain any public servant from performing their official duty.,A person attempts suicide to stop the police from enforcing the law.,"Imprisonment for up to 1 year, or a fine, or both, or community service.","Non-Cognizable, Bailable, Triable by Any Magistrate"
S. 228,,Fabricating false evidence,"A person who causes a circumstance or makes a false entry or statement in any record, intending it to be used as evidence in a judicial proceeding.",A person writes a letter to falsely accuse someone or makes a false entry in a book for the purpose of influencing judicial proceedings.,"Imprisonment for up to 7 years, or a fine up to 10,000 rupees, or both.","Cognizable, Non-bailable, Triable by Court"
S. 229,,Punishment for false evidence,A person who intentionally gives or fabricates false evidence in a judicial proceeding is punished.,A person makes a false statement in a court inquiry or investigation.,"Imprisonment for up to 7 years, or a fine up to 10,000 rupees, or both. For cases other than judicial proceedings, imprisonment up to 3 years or a fine up to 5,000 rupees, or both.","Cognizable, Non-bailable, Triable by Court"
S. 230,,Giving or fabricating false evidence with intent to procure conviction of capital offence,A person who gives or fabricates false evidence with the intent to cause the conviction of a person for a capital offence.,"Imprisonment for life or rigorous imprisonment up to 10 years, and a fine up to 50,000 rupees. If the convicted person is executed due to false evidence, the person responsible for giving the false evidence will be punished with death or the aforementioned punishment.","Cognizable, Non-bailable, Triable by Court",
S. 231,,Giving or fabricating false evidence with intent to procure conviction of offence punishable with life imprisonment or term,A person who gives or fabricates false evidence intending to cause conviction for an offence punishable with life imprisonment or a term of seven years or more.,The punishment for the person will be the same as that of the offence they intended to cause a conviction for.,"Non-cognizable, Non-bailable, Triable by Court of Session",
S. 232,,Threatening any person to give false evidence,"A person who threatens another to cause them to give false evidence. If the threat leads to an innocent person's conviction, the same punishment will apply to the person making the threat.","Imprisonment for up to 7 years, fine, or both. If the threat results in a conviction, the person will be punished as if they were convicted for that offence.","Non-cognizable, Non-bailable, Triable by Court of Session",
S. 236,N/A,False statement made in declaration which is by law receivable as evidence,"A person makes a false statement in a declaration legally receivable as evidence, knowing or believing it to be false.",N/A,Punished in the same manner as giving false evidence.,
S. 237,N/A,Using as true a declaration known to be false,"A person uses or attempts to use a false declaration as true, knowing it is false.",N/A,Punished as if they gave false evidence.,
S. 238,N/A,Causing disappearance of evidence or giving false information to screen an offender,"A person causes evidence to disappear or gives false information to hide an offender, with the intent to protect them from punishment.",A helps to hide a murder victim’s body to protect the murderer.,Punishment depends on the severity of the original offence: up to 7 years and a fine for the most serious offences.,
S. 239,N/A,Intentional omission to give information of an offence,A person intentionally omits to give information about an offence they are legally bound to inform about.,N/A,"Punishment: imprisonment for up to 6 months, a fine up to 5,000 rupees, or both.",
S. 240,N/A,Giving false information about an offence,A person gives false information about an offence they know is false.,N/A,"Punishment: imprisonment for up to 2 years, fine, or both.",
S. 233,,Using evidence known to be false,"A person who uses or attempts to use evidence that they know is false or fabricated, as genuine, will be punished similarly to someone who gives or fabricates false evidence.",Punishment same as for giving or fabricating false evidence.,"Non-cognizable, Bailable or Non-bailable (based on the offence), Triable by Court of false evidence.",
S. 234,,Issuing or signing false certificate,"A person who issues or signs a certificate required by law, knowing or believing it to be false in any material point, will be punished similarly to someone who gives false evidence.",Punishment same as for giving false evidence.,"Non-cognizable, Bailable, Triable by Court of false evidence.",
S. 235,,Using as true a certificate known to be false,"A person who uses or attempts to use a certificate that they know to be false in any material point as if it were true, will be punished similarly to someone who gives false evidence.",Punishment same as for giving false evidence.,"Non-cognizable, Bailable, Triable by Court of false evidence.",
S. 241,N/A,Destruction of document or electronic record to prevent its production as evidence,A person destroys or conceals a document/electronic record with the intention to prevent it from being produced as evidence.,N/A,"Punished with imprisonment for up to 3 years, or a fine up to 5,000 rupees, or both.",
S. 242,N/A,False personation for purpose of act or proceeding in suit or prosecution,"A person falsely assumes another's identity and performs legal acts (e.g., making admissions, causing process to be issued).",N/A,"Punished with imprisonment for up to 3 years, a fine, or both.",
S. 243,N/A,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution,A person fraudulently conceals or transfers property to prevent it from being seized as forfeiture or in execution of a decree.,N/A,"Punished with imprisonment for up to 3 years, a fine up to 5,000 rupees, or both.",
S. 244,N/A,Fraudulent claim to property to prevent its seizure as forfeited or in execution,"A person fraudulently claims property they are not entitled to, to prevent its seizure.",N/A,"Punished with imprisonment for up to 2 years, a fine, or both.",
S. 245,N/A,Fraudulently suffering decree for sum not due,A person causes or suffers a decree to be passed fraudulently for a sum not due or a larger sum than is due.,"Z suffers a judgment for a larger sum, benefiting from the proceeds of A’s decree.","Punished with imprisonment for up to 2 years, a fine, or both.",
S. 246,N/A,Dishonestly making false claim in Court,"A person fraudulently or dishonestly makes a false claim in court, intending to injure or annoy another person.",N/A,"Punished with imprisonment for up to 2 years, or a fine.",
S. 247,N/A,Fraudulently obtaining decree for sum not due,"A person fraudulently obtains a decree/order for a sum not due, or for a larger sum than is due.",N/A,"Punished with imprisonment for up to 2 years, or a fine, or both.",
S. 248,N/A,False charge of offence made with intent to injure,"A person falsely charges someone with an offence, intending to cause injury to that person.",N/A,"Punished with imprisonment for up to 5 years, or a fine up to 2 lakh rupees, or both. If the offence is severe (e.g., death penalty), punishment increases to up to 10 years imprisonment, and a fine.",
S. 249,N/A,Harbouring offender,A person conceals or harbours an offender with the intention of screening them from legal punishment.,A harbours a person involved in dacoity to screen them from punishment.,"Punished with imprisonment for up to 5 years, a fine (depending on the severity of the offence), or both.",
S. 250,N/A,"Taking gift, etc., to screen an offender from punishment",A person accepts or agrees to accept any gratification for concealing an offence or screening an offender from punishment.,N/A,"Punished with imprisonment for up to 7 years (depending on the offence), a fine, or both.",
S. 251,N/A,Offering gift or restoration of property in consideration of screening offender,A person offers or agrees to offer a gift or restore property in exchange for concealing an offence or screening someone from legal punishment.,N/A,"Punished with imprisonment for up to 7 years, a fine, or both (depending on the severity of the offence).",
S. 252,N/A,Taking gift to help recover stolen property,"A person accepts or agrees to accept any gratification under the pretext of helping recover stolen property, without attempting to bring the offender to justice.",N/A,"Punished with imprisonment for up to 2 years, a fine, or both.",
S. 253,N/A,Harbouring offender who has escaped from custody or whose apprehension has been ordered,A person knowingly harbours or conceals an offender who has escaped lawful custody or whose apprehension has been ordered.,N/A,"Punished with imprisonment (up to 7 years for death-penalty cases, up to 3 years for life imprisonment cases, etc.) and may include a fine.",
S. 254,N/A,Penalty for harbouring robbers or dacoits,A person who harbours robbers or dacoits with the intent to facilitate or screen them from punishment is penalized.,N/A,"Rigorous imprisonment for up to 7 years, a fine, or both.",
S. 255,N/A,Public servant disobeying direction of law to save person or property from punishment,A public servant disobeys the law to save someone from punishment or property from forfeiture.,N/A,"Punished with imprisonment for up to 2 years, a fine, or both.",
S. 256,N/A,Public servant framing incorrect record or writing with intent to save person or property,A public servant frames incorrect records with the intent to save a person from punishment or property from forfeiture.,N/A,"Punished with imprisonment for up to 3 years, a fine, or both.",
S. 257,N/A,"Public servant in judicial proceeding corruptly making report, etc. contrary to law",A public servant knowingly makes a corrupt decision or report contrary to law in a judicial proceeding.,N/A,"Punished with imprisonment for up to 7 years, a fine, or both.",
S. 258,N/A,Commitment for trial or confinement by person having authority who knows acting contrary to law,"A person in authority unlawfully commits someone for trial or confinement, knowing it is against the law.",N/A,"Punished with imprisonment for up to 7 years, a fine, or both.",
S. 259,N/A,Intentional omission to apprehend on the part of public servant bound to apprehend,A public servant intentionally omits to apprehend or assists in the escape of a person legally bound for apprehension or confinement.,N/A,"Punished with imprisonment (up to 7 years for death penalty cases, 3 years for life imprisonment cases, etc.) with or without fine.",
S. 260,N/A,Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence,A public servant intentionally omits to apprehend or assists in the escape of a person under sentence or lawfully committed to custody.,N/A,"Punished with imprisonment (up to 14 years for death penalty cases, 7 years for life imprisonment cases, etc.) with or without fine.",
S. 261,N/A,Escape from confinement or custody negligently suffered by public servant,A public servant negligently allows a person under their custody or charged with an offence to escape.,N/A,"Punished with simple imprisonment for up to 2 years, a fine, or both.",
S. 262,N/A,Resistance or obstruction by a person to his lawful apprehension,A person intentionally resists or obstructs their lawful apprehension or escapes from custody.,The punishment is in addition to the punishment for the offence they are charged with.,"Punished with imprisonment for up to 2 years, a fine, or both.",
S. 263,N/A,Resistance or obstruction to lawful apprehension of another person,A person resists or obstructs the lawful apprehension of another or attempts to rescue them from custody.,Punishment varies based on the severity of the offence for which the person is being apprehended.,"Punished with imprisonment for up to 2 years, or 3 years, or 7 years, depending on the offence the person is charged with, with a fine.",
S. 264,N/A,"Omission to apprehend, or sufferance of escape, on part of public servant",A public servant omits to apprehend or allows a person to escape from confinement in cases not covered by other sections.,"If done intentionally or negligently, punishment varies.","Intentionally: imprisonment up to 3 years or fine, or both. Negligently: simple imprisonment up to 2 years, or fine, or both.",
S. 265,N/A,Resistance or obstruction to lawful apprehension or escape or rescue in cases not otherwise provided for,A person resists or obstructs their own or another's lawful apprehension or attempts to escape or rescue someone from custody in cases not covered by other sections.,N/A,"Punished with imprisonment for up to 6 months, a fine, or both.",
S. 266,N/A,Violation of condition of remission of punishment,A person who violates the conditions of remission of their punishment after accepting it.,"Punished with the original sentence if no part has been served; if some part has been served, the remaining punishment.","Cognizable, Non-bailable, Triable by the Court of the original offence.",
S. 267,N/A,Intentional insult or interruption to public servant in judicial proceeding,A person intentionally insults or interrupts a public servant during a judicial proceeding.,"Simple imprisonment for up to 6 months, or a fine up to 5000 rupees, or both.","Non-cognizable, Bailable, Triable by the Court in which the offence is committed.",
S. 268,N/A,Personation of an assessor,A person intentionally impersonates or is wrongfully empanelled as an assessor in a case they are not entitled to.,"Imprisonment for up to 2 years, a fine, or both.","Non-cognizable, Bailable, Triable by Magistrate of the first class.",
S. 269,N/A,Failure by person released on bail or bond to appear in court,A person released on bail or bond fails to appear in court without sufficient cause.,"Imprisonment for up to 1 year, a fine, or both.","Cognizable, Non-bailable, Triable by Magistrate of the first class.",
S. 270,N/A,Public nuisance,"A person causes a public nuisance by engaging in acts or omissions that create injury, danger, or annoyance to the public or people in general.",N/A,N/A,
S. 271,N/A,Negligent act likely to spread infection of disease dangerous to life,A person unlawfully or negligently does something likely to spread a dangerous disease.,"Imprisonment for up to 6 months, a fine, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 272,N/A,Malignant act likely to spread infection of disease dangerous to life,A person malignantly does something likely to spread a dangerous disease.,"Imprisonment for up to 2 years, a fine, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 273,N/A,Disobedience to quarantine rule,A person knowingly disobeys a government rule related to quarantine of transport or places with infectious diseases.,"Imprisonment for up to 6 months, a fine, or both.","Non-cognizable, Bailable, Triable by Any Magistrate.",
S. 274,N/A,Adulteration of food or drink intended for sale,"A person adulterates food or drink, making it harmful for sale.","Imprisonment for up to 6 months, a fine up to 5000 rupees, or both.","Non-cognizable, Bailable, Triable by Any Magistrate.",
S. 275,N/A,Sale of noxious food or drink,"A person sells, offers, or exposes food or drink that is harmful or unfit for consumption.","Imprisonment for up to 6 months, a fine up to 5000 rupees, or both.","Non-cognizable, Bailable, Triable by Any Magistrate.",
S. 276,N/A,Adulteration of drugs,"A person adulterates a drug or medical preparation to lessen its efficacy or make it harmful, intending it to be sold or used for medicinal purposes.","Imprisonment for up to 1 year, a fine up to 5000 rupees, or both.","Non-cognizable, Bailable, Triable by Any Magistrate.",
S. 277,N/A,Sale of adulterated drugs,"A person sells, offers, or exposes for sale a drug adulterated to lessen its efficacy or make it harmful, knowing it has been adulterated.","Imprisonment for up to 6 months, a fine up to 5000 rupees, or both.","Non-cognizable, Bailable, Triable by Any Magistrate.",
S. 278,N/A,Sale of drug as a different drug or preparation,"A person sells, offers, or exposes for sale any drug or medical preparation as a different drug, knowing it to be different.","Imprisonment for up to 6 months, a fine up to 5000 rupees, or both.","Non-cognizable, Bailable, Triable by Any Magistrate.",
S. 279,N/A,Fouling water of public spring or reservoir,"A person voluntarily fouls or corrupts water from a public spring or reservoir, making it less fit for its intended use.","Imprisonment for up to 6 months, a fine up to 5000 rupees, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 280,N/A,Making atmosphere noxious to health,"A person voluntarily vitiates the atmosphere in any area, making it harmful to health.",Fine up to 1000 rupees.,"Non-cognizable, Bailable, Triable by Any Magistrate.",
S. 281,N/A,Rash driving or riding on a public way,"A person drives a vehicle or rides on a public way rashly or negligently, endangering human life or likely to cause injury.","Imprisonment for up to 6 months, a fine up to 1000 rupees, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 282,N/A,Rash navigation of vessel,"A person navigates a vessel rashly or negligently, endangering human life or likely to cause injury.","Imprisonment for up to 6 months, a fine up to 10,000 rupees, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 283,N/A,"Exhibition of false light, mark, or buoy","A person exhibits a false light, mark, or buoy that misleads a navigator.","Imprisonment for up to 7 years, and a fine of at least 10,000 rupees.","Cognizable, Bailable, Triable by Magistrate of the First Class.",
S. 284,N/A,Conveying person by water in unsafe or overloaded vessel,"A person conveys someone by water in an unsafe or overloaded vessel, endangering their life.","Imprisonment for up to 6 months, a fine up to 5,000 rupees, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 285,N/A,Danger or obstruction in public way or line of navigation,"A person causes danger, obstruction, or injury in a public way or line of navigation.","Fine up to 5,000 rupees.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 286,N/A,Negligent conduct with respect to poisonous substance,"A person negligently or rashly handles a poisonous substance, endangering human life or likely to cause injury.","Imprisonment for up to 6 months, a fine up to 5,000 rupees, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 287,N/A,Negligent conduct with respect to fire or combustible matter,"A person negligently or rashly handles fire or combustible matter, endangering human life or likely to cause injury.","Imprisonment for up to 6 months, a fine up to 2,000 rupees, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 288,N/A,Negligent conduct with respect to explosive substance,"A person negligently or rashly handles an explosive substance, endangering human life or likely to cause injury.","Imprisonment for up to 6 months, a fine up to 5,000 rupees, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 289,N/A,Negligent conduct with respect to machinery,"A person negligently or rashly handles machinery, endangering human life or likely to cause injury.","Imprisonment for up to 6 months, a fine up to 5,000 rupees, or both.","Non-cognizable, Bailable, Triable by Any Magistrate.",
S. 290,N/A,"Negligent conduct with respect to pulling down, repairing, or constructing buildings","A person negligently omits safety measures while pulling down, repairing, or constructing a building, endangering human life.","Imprisonment for up to 6 months, a fine up to 5,000 rupees, or both.","Non-cognizable, Bailable, Triable by Any Magistrate.",
S. 291,N/A,Negligent conduct with respect to animal,A person negligently omits measures to prevent a danger from an animal in their possession that could harm human life or cause grievous injury.,"Imprisonment for up to 6 months, a fine up to 5,000 rupees, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 292,N/A,Public nuisance in cases not otherwise provided for,A person commits a public nuisance not specified in other provisions.,"Fine up to 1,000 rupees.","Non-cognizable, Bailable, Triable by Any Magistrate.",
S. 293,N/A,Continuance of nuisance after injunction to discontinue,A person repeats or continues a public nuisance after being ordered by a public servant to stop.,"Simple imprisonment for up to 6 months, fine up to 5,000 rupees, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 294,N/A,"Sale, etc., of obscene books, etc.","A person sells, distributes, exhibits, or circulates obscene materials or takes part in such activities.","On first conviction: Imprisonment up to 2 years, fine up to 5,000 rupees. On second or subsequent conviction: Imprisonment up to 5 years, fine up to 10,000 rupees.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 295,N/A,"Sale, etc., of obscene objects to child","A person sells, distributes, or circulates obscene materials to a child under 18 years of age or attempts to do so.","On first conviction: Imprisonment up to 3 years, fine up to 2,000 rupees. On second or subsequent conviction: Imprisonment up to 7 years, fine up to 5,000 rupees.","Cognizable, Bailable, Triable by Any Magistrate",
S. 296,N/A,Obscene acts and songs,A person does any obscene act or sings/utters obscene songs in a public place to annoy others.,"Imprisonment up to 3 months, fine up to 1,000 rupees, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 297,N/A,Keeping lottery office,A person keeps an office for drawing a non-State or unauthorized lottery or publishes any related proposals.,"Imprisonment up to 6 months, fine, or both. Fine up to 5,000 rupees for publishing lottery-related proposals.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 298,N/A,"Injuring or defiling place of worship, with intent to insult religion","A person destroys, damages, or defiles a place of worship or any sacred object with the intention or knowledge of insulting the religion.","Imprisonment up to 2 years, fine, or both.","Cognizable, Non-Bailable, Triable by Any Magistrate.",
S. 299,N/A,"Deliberate and malicious acts, intended to outrage religious feelings","A person deliberately insults or attempts to insult any religion or religious beliefs through words, signs, or representations.","Imprisonment up to 3 years, fine, or both.","Cognizable, Non-Bailable, Triable by Any Magistrate.",
S. 300,N/A,Disturbing religious assembly,A person voluntarily disturbs an assembly lawfully engaged in religious worship or ceremonies.,"Imprisonment up to 1 year, fine, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 301,N/A,"Trespassing on burial places, etc.","A person who commits trespass in places of worship, places for funeral rites, or insults human corpses with the intention of wounding religious feelings or insulting religion, or causes disturbance to funeral ceremonies.","Imprisonment for up to 1 year, or fine, or both.","Cognizable, Bailable, Triable by Any Magistrate.",
S. 302,N/A,Insulting religious feelings,"A person who deliberately and with malicious intention insults the religious feelings of another person through words, sounds, gestures, or objects in their sight or hearing.","Imprisonment for up to 1 year, or fine, or both.","Non-Cognizable, Bailable, Triable by Any Magistrate.",
S. 303,N/A,Theft,"A person commits theft by dishonestly taking any movable property without the consent of the owner, moving it with the intention to take it away. It includes specific examples of theft with animals and objects.","Imprisonment for up to 3 years, or fine, or both. In the case of a second conviction, imprisonment between 1 to 5 years and fine. For theft involving property less than 5,000 rupees, the first-time offender may be punished with community service.","Cognizable, Non-Bailable, Triable by Any Magistrate.",
S. 304,N/A,Snatching,"Snatching is defined as theft where the offender quickly or forcibly seizes, grabs, or takes away any movable property from another person or their possession.",Imprisonment for up to 3 years and liable to fine.,"Cognizable, Non-Bailable, Triable by Any Magistrate.",
S. 305,N/A,"Theft in a dwelling house, means of transport, or place of worship, etc.","Theft committed in any building used as a human dwelling, for the custody of property, in means of transport, or from a place of worship or any property of the Government or local authority.",Imprisonment for up to 7 years and liable to fine.,"Cognizable, Non-Bailable, Triable by Any Magistrate.",
S. 306,N/A,Theft by clerk or servant,Theft committed by a clerk or servant involving property in their employer’s possession.,Imprisonment for up to 7 years and liable to fine.,"Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 307,N/A,"Theft after preparation for causing death, hurt, or restraint","Theft committed after preparing to cause death, hurt, or restraint to anyone involved in the theft or its aftermath.",Rigorous imprisonment for up to 10 years and liable to fine.,"Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 308,1,Extortion,"Putting someone in fear of injury to induce them to deliver property, money, or valuables.",Imprisonment for up to 7 years or fine or both.,"Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 308,2,Extortion (Fear of injury),Putting someone in fear of injury to induce them to deliver property or valuables.,Imprisonment for up to 2 years or fine or both.,"Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 308,3,Extortion (Fear of death or grievous hurt),Putting someone in fear of death or grievous hurt to induce delivery of property or valuables.,Imprisonment for up to 7 years and liable to fine.,"Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 308,4,Extortion (Fear of death or grievous hurt),Committing extortion by putting someone in fear of death or grievous hurt.,Imprisonment for up to 10 years and liable to fine.,"Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 308,5,Extortion (Fear of accusation of severe crime),Putting someone in fear of accusation of a serious crime to induce delivery of property or valuables.,Imprisonment for up to 10 years and liable to fine.,"Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 308,6,Extortion (Fear of accusation of severe crime),Committing extortion by putting someone in fear of being accused of a severe crime.,Imprisonment for up to 10 years and liable to fine.,"Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 309,N/A,Robbery,"Theft or extortion where the offender causes or attempts to cause death, hurt, or wrongful restraint to the victim in order to commit the theft or extortion.","Rigorous imprisonment up to 10 years, liable to fine. If committed on the highway between sunset and sunrise, imprisonment can extend to 14 years.","Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 309,N/A,Attempted robbery,Attempting to commit robbery.,"Rigorous imprisonment up to 7 years, liable to fine.","Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 309,N/A,Robbery with hurt,If hurt is caused in committing or attempting robbery.,"Life imprisonment or rigorous imprisonment up to 10 years, liable to fine.","Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 310,N/A,Dacoity,"When five or more persons jointly commit or attempt robbery, or aid in such robbery.","Life imprisonment or rigorous imprisonment up to 10 years, liable to fine.","Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 310,N/A,Dacoity with murder,When one of the five or more persons committing dacoity commits murder.,"Death penalty, life imprisonment, or rigorous imprisonment for a term not less than 10 years, liable to fine.","Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 310,N/A,Preparation for dacoity,Making preparation for committing dacoity.,"Rigorous imprisonment up to 10 years, liable to fine.","Cognizable, Non-bailable, Triable by Any Magistrate.",
S. 310,N/A,Being part of a gang for dacoity,Being part of a gang habitually committing dacoity.,"Life imprisonment or rigorous imprisonment up to 10 years, liable to fine.","Cognizable, Non-bailable, Triable by Any Magistrate",
S. 311,N/A,Robbery or dacoity with attempt to cause death or grievous hurt,"Using deadly weapons, causing grievous hurt, or attempting to cause death or grievous hurt during robbery or dacoity.","Imprisonment not less than 7 years, liable to fine.","Cognizable, Non-bailable, Triable by Court of Session.",
S. 312,N/A,Attempt to commit robbery or dacoity with deadly weapon,Attempting robbery or dacoity while armed with a deadly weapon.,Imprisonment not less than 7 years.,"Cognizable, Non-bailable, Triable by Court of Session.",
S. 313,N/A,Belonging to a gang of robbers,Belonging to a gang associated in habitually committing theft or robbery (not dacoity).,"Rigorous imprisonment up to 7 years, liable to fine.","Cognizable, Non-bailable, Triable by Magistrate of the First Class.",
S. 314,N/A,Dishonest misappropriation of property,Dishonestly misappropriating or converting movable property to one’s own use.,"Imprisonment not less than 6 months, up to 2 years, and fine.","Non-cognizable, Bailable, Triable by Any Magistrate.",
S. 315,N/A,Dishonest misappropriation of property possessed by deceased person at the time of his death,"Dishonestly misappropriating property of a deceased person, knowing the property was in the possession of the deceased at the time of death and hasn’t been legally possessed by anyone else. If the offender was employed as a servant or clerk, the punishment increases.","Imprisonment up to 3 years, liable to fine. If the offender was employed by the deceased, imprisonment up to 7 years, liable to fine.","Non-cognizable, Bailable, Triable by Magistrate of the First Class.",
S. 316,Criminal breach of trust,"Dishonestly misappropriating or converting property entrusted to you, violating legal trust agreements","Imprisonment up to 5 years, fine, or both. For specific cases (like a carrier, warehouse keeper, or public servant), punishment increases to up to 7 years or life imprisonment","Non-cognizable, Bailable, Triable by Magistrate of the First Class",,
